filename,goanna_result,intended_fix,chameleon,ghc_loc,ghc_diagnosis,ghc_fix,goanna_acc_1,goanna_acc_2,goanna_acc_3,goanna_acc_4,goanna_acc_5,goanna_locs_1,goanna_locs_2,goanna_locs_3,goanna_locs_4,goanna_locs_5,response_time
Olderthan.hs,6,1,6,False,False,False,True,True,True,True,True,2,3,4,5,5,0.2529141902923584
case.hs,2,1,4,False,False,False,True,True,True,True,True,1,4,4,4,4,0.19045686721801758
let2.hs,5,4,6,False,False,False,False,False,False,True,True,1,2,3,4,4,0.174821138381958
samples2.hs,5,1,11,False,False,False,True,True,True,True,True,1,3,4,5,5,1.9231469631195068
treeDepth.hs,9,7,7,False,False,False,False,False,False,False,False,2,4,5,6,6,0.43355584144592285
replicate2.hs,4,4,5,True,True,False,False,False,False,True,True,1,2,3,3,3,0.14278602600097656
insert.hs,12,3,16,False,False,False,False,False,True,True,True,1,2,4,6,7,4.876026153564453
firsts.hs,5,2,4,False,False,False,False,True,True,True,True,1,2,3,4,4,0.17671799659729004
stack2.hs,6,1,8,False,False,False,True,True,True,True,True,1,2,3,5,6,0.6177709102630615
stack.hs,12,1,11,True,True,False,True,True,True,True,True,1,2,3,5,6,0.9095690250396729
compress.hs,3,2,3,False,False,False,False,True,True,True,True,1,2,3,3,3,0.37055015563964844
applyToAll.hs,5,1,8,True,False,False,True,True,True,True,True,2,3,4,6,8,0.4378950595855713
mapString.hs,4,2,5,False,False,False,False,True,True,True,True,3,4,5,6,6,0.22016501426696777
showContact.hs,4,3,6,False,False,False,False,False,True,True,True,1,2,3,5,5,0.29905176162719727
condition.hs,15,1,10,False,False,False,True,True,True,True,True,2,3,5,6,7,0.6489279270172119
dropEvery.hs,4,1,5,False,False,False,True,True,True,True,True,2,3,4,5,5,0.7817790508270264
maybeMonad.hs,5,1,5,True,False,False,True,True,True,True,True,2,3,4,4,5,0.4460740089416504
let.hs,3,2,3,True,True,False,False,True,True,True,True,1,2,3,3,3,0.16501307487487793
tup.hs,6,5,10,False,False,False,False,False,False,False,True,1,2,3,4,5,0.5362210273742676
sumEven2.hs,8,1,14,False,False,False,True,True,True,True,True,1,6,7,8,10,1.6076180934906006
period.hs,12,1,30,False,False,False,True,True,True,True,True,4,5,8,10,11,86.9143180847168
